federal state,County town,Companies,Name,road,Postal code,place,Internet,E-Mail,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,,summer opening times (hours by week),Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,,Winter opening times (hours by week),Remarks,longitute,latitude
Nordrhein-Westfalen,Essen,Dino Containerdienst Essen GmbH,Recyclinghof Ruhrgebiet West,Max-Keith-Straße 13,45136,Essen,https://stadt24.org/recyclinghof/,info@stadt24.org,7:00,16:30,9:30,7:00,16:30,9:30,7:00,16:30,9:30,7:00,16:30,9:30,7:00,15:30,8:30,,,,,7:00,16:30,9:30,7:00,16:30,9:30,7:00,16:30,9:30,7:00,16:30,9:30,7:00,15:30,8:30,,,,,Selbstanlieferung von Kleinmengen für Privatkunden Selbstanlieferung von Bauabfällen für Gewerbekunden,7.0290921,51.4357542
Nordrhein-Westfalen,Essen,Dino Containerdienst Essen GmbH,Recyclinghof  Süd – Bergerhausen,Max-Keith-Str. 21-23,45136,Essen,http://www.dino-containerdienst-essen.de/recyclinghof/,essen@dino-container.de,7:00,16:30,9:30,7:00,16:30,9:30,7:00,16:30,9:30,7:00,16:30,9:30,7:00,15:30,8:30,,,,,7:00,16:30,9:30,7:00,16:30,9:30,7:00,16:30,9:30,7:00,16:30,9:30,7:00,15:30,8:30,,,,,,7.0286801,51.435349
Nordrhein-Westfalen,Krefeld,GSAK Gesellschaft für Stadtreinigung und Abfallwirtschaft Krefeld mbH,Wertstoffhof,Bruchfeld 33,47809,Krefeld,http://www.gsak.de,info@gsak.de,9:00,17:00,8:00,9:00,17:00,8:00,9:00,17:00,8:00,9:00,17:00,8:00,9:00,16:00,7:00,9:00,13:00,4:00,,9:00,17:00,8:00,9:00,17:00,8:00,9:00,17:00,8:00,9:00,17:00,8:00,9:00,16:00,7:00,9:00,13:00,4:00,,An Feiertagen Rosenmontag Heilig Abend und Silvester ist der gesamte Wertstoffhof geschlossen,6.6285429,51.3384808
Nordrhein-Westfalen,Mönchengladbach,GEM -Gesellschaft für Wertstofferfassung  Wertstoffverwertung und Entsorgung Mönchengladbach mbH,Wertstoffhof Heidgesberg,Heidgesberg 10,41068,Mönchengladbach,http://www.gem-moenchengladbach.de/index.php?s=wertstoffhof,service@gem-mg.de,8:00,14:30,6:30,8:00,14:30,6:30,,,,8:00,14:30,6:30,7:00,18:00,11:00,8:00,14:30,6:30,,8:00,14:30,6:30,8:00,14:30,6:30,,,,8:00,14:30,6:30,7:00,18:00,11:00,8:00,14:30,6:30,,,6.38899,51.18909
Nordrhein-Westfalen,Mönchengladbach,GEM -Gesellschaft für Wertstofferfassung  Wertstoffverwertung und Entsorgung Mönchengladbach mbH,Wertstoffhof Luisental,Luisental,41199,Mönchengladbach,http://www.gem-moenchengladbach.de/index.php?s=wertstoffhof,service@gem-mg.de,8:00,14:30,6:30,,,,8:00,14:30,6:30,8:00,14:30,6:30,8:00,14:30,6:30,8:00,14:30,6:30,,8:00,14:30,6:30,,,,8:00,14:30,6:30,8:00,14:30,6:30,8:00,14:30,6:30,8:00,14:30,6:30,,,6.4462102,51.1461157
Nordrhein-Westfalen,Mülheim an der Ruhr,Mülheimer Entsorgungsgesellschaft mbH,Recyclinghof (nur für Privathaushalte),Pilgerstraße 25,45473,Mülheim an der Ruhr,https://www.mheg.de,info@mheg.de,8:00,14:00,6:00,12:00,19:00,7:00,8:00,14:00,6:00,12:00,19:00,7:00,8:00,14:00,6:00,9:00,14:00,5:00,,8:00,14:00,6:00,12:00,19:00,7:00,8:00,14:00,6:00,12:00,19:00,7:00,8:00,14:00,6:00,9:00,14:00,5:00,,Öffnungszeit am Samstag betrifft  in der Regel nur jeden 1. Samstag im Monat.,6.8769955,51.4455152
Nordrhein-Westfalen,Oberhausen,Wirtschaftsbetriebe Oberhausen GmbH,WBO Wertstoffhof,Buschhausener Str. 144,46049,Oberhausen,http://www.wbo-online.de/entsorgung/wertstoffhof/,info@wbo.oberhausen.de,8:30,16:30,8:00,8:30,16:30,8:00,8:30,16:30,8:00,8:30,18:00,9:30,8:30,16:30,8:00,8:00,14:00,6:00,,8:30,16:30,8:00,8:30,16:30,8:00,8:30,16:30,8:00,8:30,18:00,9:30,8:30,16:30,8:00,8:00,14:00,6:00,,Der Wertstoffhof bleibt an den Feiertagen auch Heiligabend Silvester und i.d.R. auch Karsamstag geschlossen.fhof von 8.30 Uhr bis 12.30 Uhr geöffnet.,6.83732,51.48478
Nordrhein-Westfalen,Remscheid,Technische Betriebe Remscheid,Der Remscheider Wertstoffhof,Solinger Straße 14,42857,Remscheid,http://www.tbr-info.de/wertstoffhof.html,j.cloeters@tbr-info.de,8:00,15:45,7:45,8:00,17:45,9:45,8:00,15:45,7:45,8:00,15:45,7:45,8:00,11:45,3:45,8:00,13:45,5:45,,8:00,15:45,7:45,8:00,17:45,9:45,8:00,15:45,7:45,8:00,15:45,7:45,8:00,11:45,3:45,8:00,13:45,5:45,,w.fleischmann@tbr-info.de,7.1621095,51.1748502
Nordrhein-Westfalen,Solingen Klingenstadt,Deponie Bärenloch,Wertstoffhof,Cronenberger Straße 177,42651,Solingen,https://www.solingen.de/de/dienstleistungen/91-esg-entsorgungszentrum-baerenloch/,esg@solingen.de,7:30,15:45,8:15,7:30,15:45,8:15,7:30,15:45,8:15,7:30,15:45,8:15,7:30,15:45,8:15,7:30,12:15,4:45,,7:30,15:45,8:15,7:30,15:45,8:15,7:30,15:45,8:15,7:30,15:45,8:15,7:30,15:45,8:15,7:30,12:15,4:45,,,7.09324,51.18476
Nordrhein-Westfalen,Wuppertal,AWG Abfallwirtschaftsgesellschaft mbH Wuppertal,Recyclinghof Barmen,Münzstraße 58 ,42281,Wuppertal,http://www.awg.wuppertal.de/,gf@awg.wuppertal.de,10:00,18:00,8:00,,,,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,7:30,16:00,8:30,,10:00,18:00,8:00,,,,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,7:30,16:00,8:30,,Email: Martin Bickenbach,7.19846,51.27632
Nordrhein-Westfalen,Wuppertal,AWG Abfallwirtschaftsgesellschaft mbH Wuppertal,Recyclinghof Küllenhahn,Korzerter Straße 75 ,42349,Wuppertal,http://www.awg.wuppertal.de/,gf@awg.wuppertal.de,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,,,,7:30,16:00,8:30,,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,,,,7:30,16:00,8:30,,Email: Martin Bickenbach,7.1448034,51.2259309
Nordrhein-Westfalen,Wuppertal,AWG Abfallwirtschaftsgesellschaft mbH Wuppertal,Recyclinghof Langerfeld,Badische Straße 70-72,42389,Wuppertal,http://www.awg.wuppertal.de/,gf@awg.wuppertal.de,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,,,,10:00,18:00,8:00,7:30,16:00,8:30,,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,,,,10:00,18:00,8:00,7:30,16:00,8:30,,Email: Martin Bickenbach,7.23617,51.27049
Nordrhein-Westfalen,Wuppertal,AWG Abfallwirtschaftsgesellschaft mbH Wuppertal,Recyclinghof Sonnborn,Giebel 30,42327,Wuppertal,http://www.awg.wuppertal.de/,gf@awg.wuppertal.de,10:00,18:00,8:00,10:00,18:00,8:00,,,,10:00,18:00,8:00,10:00,18:00,8:00,7:30,16:00,8:30,,10:00,18:00,8:00,10:00,18:00,8:00,,,,10:00,18:00,8:00,10:00,18:00,8:00,7:30,16:00,8:30,,Email: Martin Bickenbach,7.09669,51.24823
Nordrhein-Westfalen,Wuppertal,AWG Abfallwirtschaftsgesellschaft mbH Wuppertal,Recyclinghof Uellendahl,Bornberg 22,42109,Wuppertal,http://www.awg.wuppertal.de/,gf@awg.wuppertal.de,,,,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,7:30,16:00,8:30,,,,,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,7:30,16:00,8:30,,Email: Martin Bickenbach,7.1518172,51.2732174
Nordrhein-Westfalen,Kleve,KKA GmbH,Entsorgungszentrum - Moyland,Alte Bahn 133,47551,Bedburg-Hau Moyland,http://www.kkagmbh.de/standorte/standorte.html,webmaster@kkagmbh.de,8:00,16:30,,8:00,16:30,,8:00,16:30,,8:00,16:30,,8:00,16:30,,8:30,12:30,,,8:00,16:30,,8:00,16:30,,8:00,16:30,,8:00,16:30,,8:00,16:30,,8:30,12:30,,,,6.2421228,51.7420596
Nordrhein-Westfalen,Kleve,KKA GmbH,Entsorgungszentrum-Pont,Niersbroecker Weg 11,47608,Geldern  Pont,http://www.kkagmbh.de/standorte/standorte.html,webmaster@kkagmbh.de,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:30,12:30,4:00,,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:30,12:30,4:00,,Annahme asbesthaltiger Abfälle:- Fr. 8.00 bis 15.30 Uhr(eigene Handabladung bis 17.00 Uhr),6.303861,51.4730251
Nordrhein-Westfalen,Kleve,Umweltbetriebe der Stadt Kleve AöR (USK),Wertstoffhof der Umweltbetriebe der Stadt Kleve AöR,Wilhelm-Sinsteden-Straße 1(Ecke Briener Straße),47533,Kleve,https://www.kleve.de/de/usk/kontaktadressen-und-oeffnungszeiten/,usk@kleve.de,,,,,,,,,,10:00,18:00,8:00,10:00,19:00,9:00,8:00,16:00,8:00,,,,,,,,,,,10:00,18:00,8:00,10:00,19:00,9:00,8:00,16:00,8:00,,Es besteht die Möglichkeit zu bürgerfreundlichen Öffnungszeiten eine Vielzahl von häuslichen Abfällen dort anzuliefern. Es werden jedoch nur Abfälle in haushaltsüblichen Mengen aus privaten Haushaltungen bis zu 2 cbm bzw. 200 kg (keine gewerblichen Abfälle oder Anlieferungen) angenommen.,6.1443218,51.8117936
Nordrhein-Westfalen,Kleve,Schönmackers Umweltdienste GmbH & Co. KG,Wertstoffhof Geldern,Liebigstraße 34,47608,Geldern,https://www.geldern.de/de/rathaus-aktuelles/wertstoffhof/#ym-contacts,dieter.schraetz@geldern.de,,,,9:00,17:00,8:00,9:00,17:00,8:00,9:00,17:00,8:00,8:00,18:00,10:00,8:00,14:00,6:00,,,,,9:00,17:00,8:00,9:00,17:00,8:00,9:00,17:00,8:00,8:00,18:00,10:00,8:00,14:00,6:00,,info@schoenmackers.de,6.3592549,51.5288064
Nordrhein-Westfalen,Kleve,Schönmackers Umweltdienste GmbH & Co. KG,Wertstoffhof Rees,Melatenweg 152 b,46459,Rees,https://www.schoenmackers.de/rund-um-service/buergerservices/#wertstoffhoefe,info@schoenmackers.de.,,,,,,,,,,,,,15:00,19:00,4:00,9:00,13:00,4:00,,,,,,,,,,,,,,14:00,18:00,4:00,9:00,13:00,4:00,,Verschiedene Öffnungszeiten im Sommer und Winter,6.40691,51.7778
Nordrhein-Westfalen,Mettmann,Schönmackers Umweltdienste GmbH & Co. KG,Wertstoffhof Erkrath,Hochdahler Straße 153,40699,Erkrath,https://www.erkrath.de/index.phtml?NavID=1630.224&La=1,info@schoenmackers.de,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,13:00,5:00,,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,13:00,5:00,,Von Montag bis Freitag gilt: Mittagspause von 12:15 - 13:00 ,6.9353844,51.2213583
Nordrhein-Westfalen,Rhein-Kreis Neuss,EGN Entsorgungsgesellschaft Niederrhein mbH,Entsorgungsstandort Neuss ,Lövelinger Straße 101,41472,Neuss,http://www.entsorgung-niederrhein.de/egn-profil/standorte/annahmestellen/annahmestelle/2/,info@egn-mbh.de,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,13:00,6:00,,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,19:00,12:00,7:00,13:00,6:00,,,6.6555775,51.1781311
Nordrhein-Westfalen,Rhein-Kreis Neuss,EGN Entsorgungsgesellschaft Niederrhein mbH,Entsorgungsstandort Grevenbroich-Neuenhausen ,Am Sandwerk,41517,Grevenbroich,http://www.entsorgung-niederrhein.de/egn-profil/standorte/annahmestellen/annahmestelle/2/,info@egn-mbh.de,7:30,16:30,9:00,7:30,16:30,9:00,7:30,16:30,9:00,7:30,16:30,9:00,7:30,16:30,9:00,7:30,12:30,5:00,,7:30,16:30,9:00,7:30,16:30,9:00,7:30,16:30,9:00,7:30,16:30,9:00,7:30,16:30,9:00,7:30,12:30,5:00,,Kleinanlieferung Privat und Gewerbe bis 1 m³ nicht schwerer als 200 kg,6.5847288,51.0597168
Nordrhein-Westfalen,Rhein-Kreis Neuss,Schönmackers Umweltdienste GmbH & Co. KG,Wertstoffhof Meerbusch,Berta-Benz-Straße 10,40670,Meerbusch (Strümp),https://www.schoenmackers.de/rund-um-service/buergerservices/#wertstoffhoefe,info@schoenmackers.de,9:00,19:00,10:00,,,,9:00,19:00,10:00,,,,9:00,19:00,10:00,9:00,14:00,5:00,,9:00,18:00,9:00,,,,9:00,18:00,9:00,,,,9:00,18:00,9:00,9:00,14:00,5:00,,Verschiedene Öffnungszeiten im Sommer (01.04. – 31.10.) und Winter (01.11. – 31.03.),6.643405,51.2765553
Nordrhein-Westfalen,Viersen,Stadt Willich,Wertstoffhof Willich,Hanns-Martin-Schleyer-Straße 1 (im Gewerbegebiet Münchheide),47877,Willich,https://www.stadt-willich.de/de/dienstleistungen/wertstoffe-entsorgen-wertstoffhof/,ute.coehnen@stadt-willich.de,,,,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,8:00,14:00,6:00,,,,,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,10:00,18:00,8:00,8:00,14:00,6:00,,Jeden 1. Samstag im Monat Schadstoffsammlung; info@stadt-willich.de ; Frau Ute Cöhnen: ute.coehnen@stadt-willich.de ; Frau Brigitte Padberg: Brigitte.Padberg@stadt-willich.de,6.5075709,51.2608122
Nordrhein-Westfalen,Viersen,Schönmackers Umweltdienste GmbH & Co. KG,Wertstoffhof Kempen,Am Selder 9 ,47906,Kempen,https://www.schoenmackers.de/rund-um-service/buergerservices/#wertstoffhoefe,info@schoenmackers.de,9:30,18:00,8:30,9:30,18:00,8:30,9:30,18:00,8:30,9:30,18:00,8:30,9:30,18:00,8:30,8:00,13:00,5:00,,9:30,18:00,8:30,9:30,18:00,8:30,9:30,18:00,8:30,9:30,18:00,8:30,9:30,18:00,8:30,8:00,13:00,5:00,,Abgabestelle auch für große Altgeräte,6.42677,51.37099
Nordrhein-Westfalen,Viersen,Städtereinigung Gerke GmbH,Wertstoffhof Tönisvorst,Lenenweg 39,47918 Tönisvorst,,https://staedtereinigung-gerke.de,info@staedtereinigung-gerke.de,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,8:00,13:00,5:00,,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,8:00,13:00,5:00,,Abgabestelle für kleine Elektro- und Elektronikaltgeräte (Altgeräte) ,6.46122,51.31876
Nordrhein-Westfalen,Wesel,Schönmackers Umweltdienste GmbH & Co. KG,Wertstoffhof Xanten Alpen Sonsbeck,Bruchweg 14,46509,Xanten (Gewerbegebiet Birten),https://www.schoenmackers.de/rund-um-service/buergerservices/#wertstoffhoefe,info@schoenmackers.de,,,,,,,14:00,18:00,4:00,,,,10:00,18:00,8:00,9:00,14:00,5:00,,,,,,,,14:00,18:00,4:00,,,,10:00,18:00,8:00,9:00,14:00,5:00,,,6.488456,51.623824
Nordrhein-Westfalen,Bonn,bonnorange AöR,Wert- und Schadstoffsammelstelle Bonn-Weststadt,Immenburgstraße 22  Einfahrt über die Straße Am Dickobskreuz Tor 2 ,53121,Bonn,https://www.bonnorange.de/abfallwirtschaft/private-haushalte/infos-von-a-z/w/wert-und-schadstoffsammelstellen.html,redaktion@bonnorange.de,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,12:00,4:00,,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,12:00,4:00,,Email (redaktion@bonnorange.de) von Richard Münz Kundenservice : kundenservice@bonnorange.de,7.0601329,50.7336309
Nordrhein-Westfalen,Bonn,bonnorange AöR,Wert- und Schadstoffsammelstelle Bonn-Bad Godesberg,Weststraße 11,53175,Bonn,https://www.bonnorange.de/abfallwirtschaft/private-haushalte/infos-von-a-z/w/wert-und-schadstoffsammelstellen.html,redaktion@bonnorange.de,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,,,,,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,8:00,17:00,9:00,,,,,Email (redaktion@bonnorange.de) von Richard Münz Kundenservice: kundenservice@bonnorange.de ,7.1442987,50.6923062
Nordrhein-Westfalen,Köln,AWB Abfallwirtschaftsbetriebe Köln GmbH (AWB),Wertstoff-Center Ossendorf,Butzweilerstr. 50,50829,Köln,https://www.awbkoeln.de/,kundenberatung@awbkoeln.de,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,16:00,8:00,,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,16:00,8:00,,,6.9015899,50.9825075
Nordrhein-Westfalen,Köln,AWB Abfallwirtschaftsbetriebe Köln GmbH (AWB),Wertstoff-Center Gremberghoven,August-Horch-Str. 3,51149,Köln,https://www.awbkoeln.de/,kundenberatung@awbkoeln.de,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,16:00,8:00,,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,20:00,12:00,8:00,16:00,8:00,,,7.0492349,50.9097136
Nordrhein-Westfalen,Köln,Umweltzentrum Köln gGmbH,Wertstoffhof Niehl,Niehler Str. 254,50735,Köln,http://www.umweltzentrum-koeln.de/,info@umweltzentrum-koeln.de,9:00,18:00,9:00,9:00,18:00,9:00,9:00,18:00,9:00,9:00,18:00,9:00,9:00,18:00,9:00,10:00,14:00,4:00,,9:00,18:00,9:00,9:00,18:00,9:00,9:00,18:00,9:00,9:00,18:00,9:00,9:00,18:00,9:00,10:00,14:00,4:00,,,6.9604584,50.9719056
Nordrhein-Westfalen,Köln,AVG Abfallentsorgungs- und Verwertungsgesellschaft Köln mbH (AVG Köln),Recyclinghof Köln-Niehl,Geestemünder Str. 20,50735,Köln,http://www.avgkoeln.de,info@avgkoeln.de,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,12:30,5:30,,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,12:30,5:30,,,6.9392148,51.0015983
Nordrhein-Westfalen,Köln,AVG Abfallentsorgungs- und Verwertungsgesellschaft Köln mbH (AVG Köln),Recyclinghof Köln-Heumar,Wikingerstraße 100,51107,Köln,http://www.avgkoeln.de,info@avgkoeln.de,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,12:30,5:30,,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,17:00,10:00,7:00,12:30,5:30,,,7.0679824,50.916994
Nordrhein-Westfalen,Leverkusen,AVEA GmbH & Co. KG,Wertstoffzentrum Leverkusen,Dieselstraße 18,51381,Leverkusen,https://www.avea.info/,info@avea.de,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,,,,,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,8:00,18:00,10:00,,,,,,7.01219,51.05716
